filter,dist,n,target_fpr,neg_share,workload,threads,load_factor,fp_bits,ops,warmup_ops,rep,run,achieved_fpr,bpe,ops_per_s,p50,p95,p99,p50_ns,p95_ns,p99_ns,fail_rate,avg_kicks,stash_hits,avg_probe,cluster_mean,cluster_p99
bloom,uniform,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.077013,8.38861,20935050.0,26ns,39ns,50ns,26.0,39.0,50.0,,,,,,
bloom,uniform,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.077013,8.38861,21783670.0,25ns,38ns,48ns,25.0,38.0,48.0,,,,,,
bloom,uniform,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.077013,8.38861,23089480.0,25ns,38ns,48ns,25.0,38.0,48.0,,,,,,
xor,uniform,1000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.003436,33.5544,14484030.0,36ns,192ns,278ns,36.0,192.0,278.0,,,,,,
xor,uniform,1000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.003436,33.5544,16713910.0,32ns,181ns,289ns,32.0,181.0,289.0,,,,,,
xor,uniform,1000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.003436,33.5544,18210010.0,31ns,38ns,286ns,31.0,38.0,286.0,,,,,,
xor,uniform,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.000222,33.5544,18266370.0,31ns,37ns,228ns,31.0,37.0,228.0,,,,,,
xor,uniform,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.000222,33.5544,17170180.0,32ns,136ns,292ns,32.0,136.0,292.0,,,,,,
xor,uniform,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.000222,33.5544,17020390.0,32ns,179ns,290ns,32.0,179.0,290.0,,,,,,
xor,uniform,1000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,0,0,1.4e-05,33.5544,18696750.0,31ns,37ns,256ns,31.0,37.0,256.0,,,,,,
xor,uniform,1000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,1,1,1.4e-05,33.5544,17879560.0,31ns,38ns,265ns,31.0,38.0,265.0,,,,,,
xor,uniform,1000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,2,2,1.4e-05,33.5544,17150800.0,32ns,39ns,257ns,32.0,39.0,257.0,,,,,,
cuckoo,uniform,1000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.014732,33.5544,11060670.0,43ns,61ns,280ns,43.0,61.0,280.0,0.0,0.0,0.0,,,
cuckoo,uniform,1000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.014732,33.5544,11235330.0,40ns,61ns,273ns,40.0,61.0,273.0,0.0,0.0,0.0,,,
cuckoo,uniform,1000000,0.05,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.014732,33.5544,11996510.0,41ns,56ns,274ns,41.0,56.0,274.0,0.0,0.0,0.0,,,
cuckoo,uniform,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.000977,33.5544,11592100.0,42ns,73ns,271ns,42.0,73.0,271.0,0.0,0.0,0.0,,,
cuckoo,uniform,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.000977,33.5544,11368720.0,42ns,58ns,282ns,42.0,58.0,282.0,0.0,0.0,0.0,,,
cuckoo,uniform,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.000977,33.5544,12321680.0,39ns,60ns,255ns,39.0,60.0,255.0,0.0,0.0,0.0,,,
cuckoo,uniform,1000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,0,0,4.5e-05,33.5544,11383540.0,42ns,60ns,272ns,42.0,60.0,272.0,0.0,0.0,0.0,,,
cuckoo,uniform,1000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,1,1,4.5e-05,33.5544,12201690.0,39ns,54ns,264ns,39.0,54.0,264.0,0.0,0.0,0.0,,,
cuckoo,uniform,1000000,0.05,0.5,read_only,1,0.95,16,1500000,150000,2,2,4.5e-05,33.5544,11205470.0,43ns,66ns,250ns,43.0,66.0,250.0,0.0,0.0,0.0,,,
quotient,uniform,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.007734,52.4288,11131240.0,40ns,151ns,296ns,40.0,151.0,296.0,,,,0.0,0.0,0.0
quotient,uniform,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.007734,52.4288,11193790.0,40ns,147ns,294ns,40.0,147.0,294.0,,,,0.0,0.0,0.0
quotient,uniform,1000000,0.05,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.007734,52.4288,11281740.0,40ns,145ns,296ns,40.0,145.0,296.0,,,,0.0,0.0,0.0
bloom,uniform,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.035445,16.7772,19223780.0,28ns,42ns,53ns,28.0,42.0,53.0,,,,,,
bloom,uniform,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.035445,16.7772,19425310.0,28ns,43ns,54ns,28.0,43.0,54.0,,,,,,
bloom,uniform,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.035445,16.7772,19087510.0,28ns,43ns,54ns,28.0,43.0,54.0,,,,,,
xor,uniform,1000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.003436,33.5544,16630470.0,32ns,38ns,266ns,32.0,38.0,266.0,,,,,,
xor,uniform,1000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.003436,33.5544,16242800.0,32ns,39ns,268ns,32.0,39.0,268.0,,,,,,
xor,uniform,1000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.003436,33.5544,17028140.0,32ns,38ns,270ns,32.0,38.0,270.0,,,,,,
xor,uniform,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.000222,33.5544,17645850.0,31ns,38ns,283ns,31.0,38.0,283.0,,,,,,
xor,uniform,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.000222,33.5544,17151520.0,32ns,38ns,268ns,32.0,38.0,268.0,,,,,,
xor,uniform,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.000222,33.5544,17429960.0,32ns,38ns,270ns,32.0,38.0,270.0,,,,,,
xor,uniform,1000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,0,0,1.4e-05,33.5544,17464000.0,31ns,38ns,262ns,31.0,38.0,262.0,,,,,,
xor,uniform,1000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,1,1,1.4e-05,33.5544,17968500.0,32ns,41ns,275ns,32.0,41.0,275.0,,,,,,
xor,uniform,1000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,2,2,1.4e-05,33.5544,16227970.0,32ns,39ns,276ns,32.0,39.0,276.0,,,,,,
cuckoo,uniform,1000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,0,0,0.014732,33.5544,11197880.0,40ns,57ns,275ns,40.0,57.0,275.0,0.0,0.0,0.0,,,
cuckoo,uniform,1000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,1,1,0.014732,33.5544,11230720.0,40ns,60ns,274ns,40.0,60.0,274.0,0.0,0.0,0.0,,,
cuckoo,uniform,1000000,0.01,0.5,read_only,1,0.95,8,1500000,150000,2,2,0.014732,33.5544,11387100.0,40ns,58ns,273ns,40.0,58.0,273.0,0.0,0.0,0.0,,,
cuckoo,uniform,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.000977,33.5544,11469360.0,40ns,57ns,298ns,40.0,57.0,298.0,0.0,0.0,0.0,,,
cuckoo,uniform,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.000977,33.5544,12376060.0,39ns,56ns,272ns,39.0,56.0,272.0,0.0,0.0,0.0,,,
cuckoo,uniform,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.000977,33.5544,11896520.0,39ns,134ns,269ns,39.0,134.0,269.0,0.0,0.0,0.0,,,
cuckoo,uniform,1000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,0,0,4.5e-05,33.5544,11523770.0,42ns,59ns,275ns,42.0,59.0,275.0,0.0,0.0,0.0,,,
cuckoo,uniform,1000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,1,1,4.5e-05,33.5544,12210730.0,39ns,54ns,259ns,39.0,54.0,259.0,0.0,0.0,0.0,,,
cuckoo,uniform,1000000,0.01,0.5,read_only,1,0.95,16,1500000,150000,2,2,4.5e-05,33.5544,12325580.0,39ns,54ns,266ns,39.0,54.0,266.0,0.0,0.0,0.0,,,
quotient,uniform,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.001834,52.4288,10225370.0,41ns,208ns,313ns,41.0,208.0,313.0,,,,0.0,0.0,0.0
quotient,uniform,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.001834,52.4288,10132050.0,41ns,225ns,305ns,41.0,225.0,305.0,,,,0.0,0.0,0.0
quotient,uniform,1000000,0.01,0.5,read_only,1,0.95,12,1500000,150000,2,2,0.001834,52.4288,9708661.0,42ns,220ns,320ns,42.0,220.0,320.0,,,,0.0,0.0,0.0
bloom,uniform,1000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,0,0,0.037703,16.7772,17109890.0,29ns,43ns,55ns,29.0,43.0,55.0,,,,,,
bloom,uniform,1000000,0.001,0.5,read_only,1,0.95,12,1500000,150000,1,1,0.037703,16.7772,17616900.0,29ns,43ns,53ns,29.0,43.0,53.0,,,,,,
