variant,workload,nkeys,threads,seconds,seed,ops,total_finds,total_inserts,total_misses,ops_per_s,cycles,LLC-load-misses,LLC-store-misses,cycles_per_op
coarse,insert,1000000,16,2,1,1838224,0,1838224,0,918812.0,,,,
coarse,insert,1000000,16,2,2,1755913,0,1755913,0,877599.0,,,,
coarse,insert,1000000,16,2,3,1770276,0,1770276,0,884700.0,,,,
coarse,insert,1000000,16,2,4,1807275,0,1807275,0,903166.0,,,,
coarse,insert,1000000,16,2,5,1767098,0,1767098,0,883219.0,,,,
coarse,insert,1000000,1,2,1,10042808,0,10042808,0,5020960.0,,,,
coarse,insert,1000000,1,2,2,9719799,0,9719799,0,4859120.0,,,,
coarse,insert,1000000,1,2,3,10040537,0,10040537,0,5019440.0,,,,
coarse,insert,1000000,1,2,4,9603733,0,9603733,0,4801050.0,,,,
coarse,insert,1000000,1,2,5,9839158,0,9839158,0,4918630.0,,,,
coarse,insert,1000000,2,2,1,4769242,0,4769242,0,2384200.0,,,,
coarse,insert,1000000,2,2,2,4729246,0,4729246,0,2364140.0,,,,
coarse,insert,1000000,2,2,3,4785885,0,4785885,0,2392530.0,,,,
coarse,insert,1000000,2,2,4,4810987,0,4810987,0,2405230.0,,,,
coarse,insert,1000000,2,2,5,4663335,0,4663335,0,2331370.0,,,,
coarse,insert,1000000,4,2,1,2830651,0,2830651,0,1415130.0,,,,
coarse,insert,1000000,4,2,2,2679961,0,2679961,0,1339810.0,,,,
coarse,insert,1000000,4,2,3,2708200,0,2708200,0,1353910.0,,,,
coarse,insert,1000000,4,2,4,2737720,0,2737720,0,1368660.0,,,,
coarse,insert,1000000,4,2,5,2684928,0,2684928,0,1342300.0,,,,
coarse,insert,1000000,8,2,1,2029272,0,2029272,0,1014380.0,,,,
coarse,insert,1000000,8,2,2,2065138,0,2065138,0,1032340.0,,,,
coarse,insert,1000000,8,2,3,2093394,0,2093394,0,1046360.0,,,,
coarse,insert,1000000,8,2,4,2032214,0,2032214,0,1015890.0,,,,
coarse,insert,1000000,8,2,5,2069432,0,2069432,0,1034500.0,,,,
coarse,insert,100000,16,2,1,2904900,0,2904900,0,1451910.0,,,,
coarse,insert,100000,16,2,2,3232170,0,3232170,0,1615410.0,,,,
coarse,insert,100000,16,2,3,3649901,0,3649901,0,1824200.0,,,,
coarse,insert,100000,16,2,4,3292227,0,3292227,0,1645420.0,,,,
coarse,insert,100000,16,2,5,3204136,0,3204136,0,1601400.0,,,,
coarse,insert,100000,1,2,1,9767507,0,9767507,0,4882850.0,,,,
coarse,insert,100000,1,2,2,14071282,0,14071282,0,7034430.0,,,,
coarse,insert,100000,1,2,3,15014925,0,15014925,0,7505610.0,,,,
coarse,insert,100000,1,2,4,12205138,0,12205138,0,6100950.0,,,,
coarse,insert,100000,1,2,5,9484271,0,9484271,0,4741010.0,,,,
coarse,insert,100000,2,2,1,6751571,0,6751571,0,3374900.0,,,,
coarse,insert,100000,2,2,2,6084782,0,6084782,0,3041780.0,,,,
coarse,insert,100000,2,2,3,5906849,0,5906849,0,2952660.0,,,,
coarse,insert,100000,2,2,4,5934973,0,5934973,0,2966700.0,,,,
coarse,insert,100000,2,2,5,5458262,0,5458262,0,2728590.0,,,,
coarse,insert,100000,4,2,1,2407227,0,2407227,0,1203270.0,,,,
coarse,insert,100000,4,2,2,3441454,0,3441454,0,1720180.0,,,,
coarse,insert,100000,4,2,3,2402671,0,2402671,0,1201050.0,,,,
coarse,insert,100000,4,2,4,2908195,0,2908195,0,1453620.0,,,,
coarse,insert,100000,4,2,5,3022534,0,3022534,0,1510670.0,,,,
coarse,insert,100000,8,2,1,1571911,0,1571911,0,785528.0,,,,
coarse,insert,100000,8,2,2,1645276,0,1645276,0,822152.0,,,,
coarse,insert,100000,8,2,3,1397237,0,1397237,0,698275.0,,,,
coarse,insert,100000,8,2,4,1870180,0,1870180,0,934612.0,,,,
coarse,insert,100000,8,2,5,1661717,0,1661717,0,830575.0,,,,
coarse,insert,10000,16,2,1,1252920,0,1252920,0,625947.0,,,,
coarse,insert,10000,16,2,2,1466747,0,1466747,0,732670.0,,,,
coarse,insert,10000,16,2,3,1241553,0,1241553,0,620139.0,,,,
coarse,insert,10000,16,2,4,1370966,0,1370966,0,684827.0,,,,
coarse,insert,10000,16,2,5,1273325,0,1273325,0,636058.0,,,,
coarse,insert,10000,1,2,1,34907232,0,34907232,0,17449700.0,,,,
coarse,insert,10000,1,2,2,33665166,0,33665166,0,16828700.0,,,,
coarse,insert,10000,1,2,3,39021923,0,39021923,0,19506800.0,,,,
coarse,insert,10000,1,2,4,41222144,0,41222144,0,20607400.0,,,,
coarse,insert,10000,1,2,5,39970672,0,39970672,0,19981200.0,,,,
coarse,insert,10000,2,2,1,6001863,0,6001863,0,3000120.0,,,,
coarse,insert,10000,2,2,2,6052044,0,6052044,0,3025140.0,,,,
coarse,insert,10000,2,2,3,6150488,0,6150488,0,3074390.0,,,,
coarse,insert,10000,2,2,4,6381845,0,6381845,0,3189980.0,,,,
coarse,insert,10000,2,2,5,6130968,0,6130968,0,3064920.0,,,,
coarse,insert,10000,4,2,1,5028868,0,5028868,0,2513920.0,,,,
coarse,insert,10000,4,2,2,4170328,0,4170328,0,2084540.0,,,,
coarse,insert,10000,4,2,3,3959332,0,3959332,0,1979090.0,,,,
coarse,insert,10000,4,2,4,3322713,0,3322713,0,1660900.0,,,,
coarse,insert,10000,4,2,5,3935283,0,3935283,0,1967100.0,,,,
coarse,insert,10000,8,2,1,1974357,0,1974357,0,986699.0,,,,
coarse,insert,10000,8,2,2,1930658,0,1930658,0,964813.0,,,,
coarse,insert,10000,8,2,3,2290823,0,2290823,0,1144810.0,,,,
coarse,insert,10000,8,2,4,1902784,0,1902784,0,950902.0,,,,
coarse,insert,10000,8,2,5,2420778,0,2420778,0,1209760.0,,,,
coarse,lookup,1000000,16,2,1,867269,867269,0,0,432878.0,,,,
coarse,lookup,1000000,16,2,2,1015057,1015057,0,0,506464.0,,,,
coarse,lookup,1000000,16,2,3,869687,869687,0,0,434053.0,,,,
coarse,lookup,1000000,16,2,4,984597,984597,0,0,491422.0,,,,
coarse,lookup,1000000,16,2,5,875108,875108,0,0,436670.0,,,,
coarse,lookup,1000000,1,2,1,6464277,6464277,0,0,3231150.0,,,,
coarse,lookup,1000000,1,2,2,6208405,6208405,0,0,3103250.0,,,,
